professor	ritmo	comment
Expert 5	Não	Participante nao conseguiu iniciar o movimento Basico 1 no tempo correto da musica, nao se fez presente no ritmo em nenhum momento do video, mas apresentou ritmo proprio, isso quer dizer que, mesmo nao estando no ritmo da musica, ela se manteve quase por todo a filmagem em um ritmo constante, que normalmente acontece quando o aluno nao consegue identificar o ritmo da musica, ou ainda esta passando pelo processo de entendimento do movimento que esta realizando e nao consegue assimilar a danca com a musica ainda, precisando manter o foco somente no aprender do passo. Nao utilizacao dos bracos. A visao focada aos pes demonstra ajudar no processo de ritmizacao da danca assimilada com a musica,
Expert 5	Não	Se inicia o movimento Basico 1 no tempo correto da musica. A pessoa se fez presente no ritmo em grande parte do video, mas a ocilacao do ritmo para uma marcacao mais lenta em dois ou mais momentos indica que ainda nao existe consistencia na ritmizacao e nao se pode afirmar que a pessoa esteja no ritmo por reconhecimento do tal. Parece apresentar dificuldade de manter o ritmo nos pes quando se desvia o foco dos pes e busca o olhar a frente. Mostrou maior dominio da transferencia de peso, conseguindo marcar a contagem 1, 2,3 e 'pausa' no tempo da musica mas nao em toda extensao do video. Comeca a tentar utilizar os bracos como parte da danca, mas ainda muito acanhado.
Expert 5	Não	Nao iniciou o Basico 1 no tempo correto da musica. Comeca a enteder que o movimento exige transferencia de peso, e que pode auxiliar na conecao de movimento e ritmo da musica, mas ainda nao executado corretamente, movimento esta apontado e nao pisado de forma suave. Passos comecam a ter mais leveza, isso que dizer, a participante utiliza mais a parte frenteira dos pes como apoio principal e nao mais o pe inteiro e chapado, causando leves desequilibrios especialmente quando o movimento eh realizado com a perna direita para tras. Comeca a utilizar os bracos como forma de balancear o movimento, 
Expert 5	Não	Nao iniciou o Basico 1 no tempo correto da musica.  Demonstra mais confianca na movimentacao do passo, utilizando mais o balanco dos bracos e pisando com mais leveza na contagem 1 e 3, realiza transferencia de peso mas ainda com o nivel baixo de qualidade. Apresentou quebra do ritmo pessoal para tentar atingir o ritmo da musica, comecando em uma velocidade muito mais lenta e passeando entre lenta a ate mesmo mais rapidqa durnte toda a gravacao, no final se faz no ritmo na musica por poucos segundos. Muda ponto de foco, mantendo a cabeca erguida em quase todo o video, e nao interferindo no passo realizado. 
Expert 5	Não	Nao iniciou o Basico 1 no tempo correto da musica. Se manteve fora do ritmo durante todo o video. Demonstra inseguranca no inicio do video quanto a marcacao dos pes, suponho eu que a candidata tenha ficado um periodo prolongado sem a pratica, quando se comparado ao tempo entre os videos anteriores. Durante o teste a candidata adquiri mais confianca na realizacao do Basico 1 mas ainda sem dominio do ritmo. Com pouca utilizacao dos bracos e pisando com mais leveza na contagem 1 e 3 utilizando a almofada do pe ( regiao anterior do pe, sem uso dos calcanhares) e com transferencia de peso. Posiciona a cabeca alinhada para frente, na busca de um ponto de foco com intuito de concentrar a escutar a musica e ao ritmo a ser seguido.
Expert 5	Não	Nao iniciou o Basico 1 no tempo correto da musica. Se manteve fora do ritmo durante todo o video. A participate comeca a utilizar mais do balanco dos bracos ain de forma inregular, ocilando movimentacao e estatica. Comeca a realizar movimentacao de tronco e ombros na tentativa de achar o balanco assim dizendo, gingado que a danca forro exige. O balanco pode ser concertado com apenas transferencia de peso nos passos 1 e 3. Evitar a torcao do corpo mesmo sendo algo raro de se acontecer quando se esta treinando com um parceiro, mas como a pratica do exerciico se demonstra ser individual eh necessario policiar o movimento para nao gerar vicios em cima da pratica excessiva.
Expert 5	Não	Nao iniciou o Basico 1 no tempo correto da musica. Se manteve fora do ritmo durante todo o video. Demontrou ter escutado o ritmo e buscou se igualar para marcar no ritmo da musica, comecando em muito mais lento para lento. nao utiliozou de bracos, ou tronco durante quase todo o video. O braco entra em acao na tentativa de se manter no ritmo mas se perde o balnaco por nao estar marcado no ritmo correto ainda. Marcacao de pes ainda parecida com videos ateriores, marcaco forte entre 1 e 3, e um pouco pior na transferencia de peso. Ausencia da marcacao 2 em quase todo o video. Olhar focado a frente.
Expert 5	Não	O participante iniciou a primiera marcacao fora do ritmo mais se ajustou rapidamente ao ritmo ainda dentro do primeiro Basico 1, se matendo no ritmo da musica pelos 18 segundos iniciais do video. Momento que o ritmo esta austado e parace mais confiante, o
Expert 5	Não	Nao iniciou o movimento no tempo certo da musica e nao se apresentou no ritmo em nenhum momento do video. Bracos continuam em posicao fletidas, com leve balanco acompanhando o movimento das pernas, assemelhando com a uma caminhada, benefico para a aprendizagem da movimentacao do Basico 1 e a naturalidade do passo, mas pode atrapalhar na marcao de ritmo nao realizando a contagem `pausa` da danca, perdendo as contagens seguintes. O participante parece (sem a certeza quanto ao caso mas algo comum de acontecer) fechar os olhos para se concentrar, tirando o foco visual, para tentar concentrar no foco auditivo e motor.
Expert 5	Não	Participante nao conseguiu iniciar o movimento Basico 1 no tempo correto da musica, nao se fez presente no ritmo em nenhum momento do video. Bracos se movimentam mais, mas de forma mais mecanizada, de forma a entender que o braco esta realizando a marcacao junto com a contagem das pernas, pode ser utilizado como forma de contar os passos para se manter na contagem correta. tranferencia de peso excessiva entre 1 e 3, tornando a contagem 2 mais longa do que deveria, dificultando ate meso encontrar o ritmo proprio. 
Expert 5	Não	Participante nao conseguiu iniciar o movimento Basico 1 no tempo correto da musica, nao se fez presente no ritmo em nenhum momento do video. Bracos se movimentam mais natural, menos mecanizados, ainda mostrando acentuacoes, o que indica que utiliza os bracos como forma de marcacao do Basico 1. Transferencia de peso se faz mais sutil, dminuindo o tempo de execucao da contagem 2 mas ainda mais prolongado do que o desejado. Aind anao realiza a contagem `pausa` devido a movimentacao assemelhada a uma caminhada.
Expert 5	Não	Participante apresenta inversao da contagem, comecando com a `pausa`, fazendo o movimento Basico 1 ter a contagem1, `pausa` 2,3. Quando essa inversao acontece, o participante pode parecer estar dentro do ritmo caso as pisadas sejam realizadas no ritmo, ma
Expert 5	Não	Na primeira iniciacao do Basico 1 o participante consegue realizar a contagem 1 ( iniciacao do passo) no tempo correto da musica, ja na segunda tentativa nao conseguiu realizar corretamente por milezimos de segundo. Nao se faz presente no ritmo por apresentar erro tecnico na realizacao do movimento Basico 1. Mesmo erro citado anteriormente, cosegue escutar o ritmo e se atenta a realizar a contagem 1e 3 no tempo correto da musica, mas realizando a pausa no momento incorreto.
Expert 5	Sim	Participante inicia o movimento Basico 1 no tempo correto da musica e se faz presente no ritmo durante todo o video. Ausencia de movimentos de bracos. Pisada 1 e 3 sendo feito com o pe chapado (pe inteiro em contato com o chao)  o que torna o movimento com uma caracteristica mais mecanizada. 
Expert 5	Não	Participante nao se apresenta no ritmo durante o video. Continua apresentando inversao da contagem dos passos, impossibilitando qualquer marcacao ser feita corretamente no tempo da musica. Bracos posicionados a frente do corpo com as maos entrelacadas, o que pode significar inseguranca quanto ao que esta fazendo e/ou anulacao do moviemento dos bracos, ate mesmo acao de prender as maos a frente do corpo para ter mais agilidade com as pernas, anulando a necessidade de movimentar o braco ou ate mesmo sem movimentacao, mas pela presenca.
Expert 5	Não	Participante ainda apresenta dificuldades em realizar o Basico 1 de forma tecnicamente correta, nao pontuando em nenhum moento o ritmo da musica com a contagem dos passos. Se atenta a correcao postural, erguendo a cabeca e alinhando a coluna, mas nao consegue se manter por mais que 5 segundos na nova postura.
Expert 5	Não	O participante nao inicou no tempo correto da musica e nao se apresentou no ritmo correto. Marcacoes 1 e 3 acentuadas no ponto certo da musica, mas a contagem `pausa` ainda realizada no momento inadeuqado dentro do passo, tornando o movimento incorreto. Altera algumas caracteristicas bem pontuais no quesito postural, como fletir os joelhos enquanto danca devido a flexao dos pes para dancar na ponta dos pes. Dancar na ponta dos pes ajuda na velocidade da danca, mas pode ocasionar no aumento da velocidade inconscientemente, entao quando se altera esse tecnica ( de se dancar na pontas dos pes) eh preciso uma conscinetizacao deque isso pode ocorrer.
Expert 5	Não	O participante nao iniciou a danca no tempo correto da musica, e nao se apresentou no ritmo. O individuo demontrou rigidez de quadril para o movimento ( nao significa encurtamento, apenas nao sabe separar os movimentos das diferentes partes do corpo) isso
Expert 5	Não	Participante nao se apresenta no ritmo e nao inicia o moviemento na contagem certa. Ainda com dificuldade de se separar movimento de pernas e tronco, realizando muita laterializacao nas pisadas 1. Braco se mantem o mesmo e pe chapado (o que intesifica mais a torcao do corpo). 
Expert 5	Sim	Participante se apresenta no ritmo desde o primeiro passo ate o final do video. Movimento realizado na ponta dos pes, ausencia de calcanhar nas pisadas 1 e de forma quicada, o que resulta em ocilacao de altura, ruim para quando se junta ao parceiro. bracos posicionados na lateral mas sem balanco, nao atrapalhou no desempenho.
Expert 5	Não	O praticante ainda apresenta caracteristicas de laterializacao do tronco mas menos acentuada pela leve flexao de joelhos. Ausencia da contagem `pausa`. O participante demonstra variacao de movimento durante o video. Quando comeca a realizar a flexao de joelhos pode ajudar na temporarizacao da contagem 2 e com isso a necessidqade de realizar laterializacao fica menos necessaria. Por falta de conhecimento tecnico o participante ainda oscila na movimentacao tecnica.
Expert 5	Não	O participante se encontra um pouco mais lento que o ritmo, comecando o video com alguns passos no tempo correto da muica. Movimentacao do corpo ainda nao executado de forma correta, nao realiza a flexao de quadril na passada das pernas, mantendo a laterializacao do tronco. Realiza flexao de joelho um pouco mais acentuada mas ainda pe inteiro ao chao, movimento quicado por consequencia da piasada de pe chapado. Ausencia da marcacao `pausa`.
Expert 5	Sim	O participante se apresenta no ritmo na maior parte do video. Comeca com as pisada alternada avancando com direita a frente e equerda atras, mas se coiscientisa rapidamente e corrige o erro, comecando a marcacao na no tempo correto da musica, se apresenta fora do ritmo entre 23` ao 28`. Tronco mais estavel (laterializando e quicando menos), realizando a `pausa`, mas em alguns momentos a pisada 3 estavaum pouco atrasada. Considero estar no ritmo, principalmente pelo fato de realizar que ele estava marcando de acordo com o que escutavacom a musica, e nao um ritmo proprio,por iss pode ocorrer essas ocilacoes nas pisadas2 e3, porque esta atento a se marcar o 1 na pisada forte da musica. 
Expert 5	Sim	O participante se encontra no ritmo durante todo o video, iniciando a marcacao corretamente no tempo da musica. Tronco laterializando cada vez menos, pisada na ponta dos pes mas com pouca flexibilidade, nao esta havendo o movimento de mola em que se pisa,o calcanhar abaixa e sobe ( pisada atras) e a pisada a frente pode ser realizado com o pe inteiro para homens. Joelhos flexionados o tempo todo, sem mobilidade o que tambem nao eh correto.
Expert 5	Sim	Considerando que a musica tocada eh um baiao e o participante nao dancou a tecnica de acordo com o estilo musical, o participante se apresentou no ritmo da musica. Movimento curto e um pouco quicado, mas realizando todas as marcacoes da danca 1,2,3 e `pausa`.
Expert 5	Sim	O participante se apresenta no ritmo durante todo o video. Movimento limpo e suave, sem quicar, sem torcao de tronco, pisando na ponta dos pes e efeito mola, e pe inteiro a frente.
Expert 5	Não	A participante se apresentou mais rapida do que o ritmo musical, mas se apresenta atrasada quanto a marcacao. Realizaou as marcacoes tecnicamente correto, sendo as marcacoes 1 e 3 mais longas e a marcacao 2 mais curta, e exacutando a breve pausa entre a p
Expert 5	Sim	Assim como varios voluntarios aqui apresentados, finaliza o movimento em pisada paralela, na contagem `pausa`, quando se realiza o movimento Basico 1, o moveimtno nao se reparte em frente e tras, eh um movimento continuo, que deve se assemelhar com o andar, quando andamos nao ha momento em que nossos pes se encontram em contato ao chao em posicoes paralelas. Joelho ainda flexionado. Postura de tronco boa, realizando a primiera marcacao no tempo correto da musica.
Expert 5	Sim	A participante apesar de nao ter iniciado o primeiro passo no tempo certo da musica, demonstrou reconhecimento do ritmo musical e se fez mais rapida na execucao da pisada para tentar encaixar com o ritmo. Marcacao ainda realizada com pes paralelos e joelhos flexionados. Postura do tronco boa, e gingado de quadril feito de forma natural.
Expert 5	Não	A participante demonstrou ainda nao estar segura de como se executar o movimento Basico 1. Quando a tecninca ainda nao se esta aprimorada ou fixada, o dancarino necessita de pensar e colocar o seu foco em realizar o movimento, por isso a participante acho
Expert 5	Não	Apesar da musica ter o instrumental muito claro e marcado, a participante ainda nao demonstra seguranca na execucao do passo Basico 1, por isso nao consegue dividir sua atencao quanto a executar o passo mais executar o passo no ritmo da musica. Marcacao das pernas invertida ( direira a frente e esquerda atras) o que faz a tecnica incorreta.
Expert 5	Não	Particpante ainda demonstra estar em processo de aprendizagem do passo Basico 1. Marcacoes realizadas de forma correta ( esqeurda a frente e direita atras) mas ritmadas incorretamente, tempo de cada marcacao ( 1, 2,3 `pausa`) realizado em tempos diferentes, muito espacado, sinal de aprendizagem do moviemento.
Expert 5	Não	Participante demora a se concentrar e focar no objetivo do video. 
Expert 5	Não	A participante demonstra maior clareza para executar o Basico1, se fazendo um pouco mais rapida do que anteriormente. Comeca a ritmar as pisadas, (longa em 1 e 3 e mais rapido em 2), ao final do video, demonstra encontrar o ritmo, executando o passo corretamente no ritmo musical nos ultimos 20`. 
Expert 5	Sim	A participante serve de exemplo, em um video anteriro se faz muito mais lenta que o ritmo da musica, e neste video com a mesma musica, se faz no ritmo, demonstrando que a fixacao do movimento ( de forma tecnicamente correta) eh essencial para que o aluno possa comecar a dividir o seu foco, em exucutar o movimento correto e no ritmo musical.
Expert 5	Sim	Realizou o movimento corretamente no tempo musical. Utilizou pisada com joelhos suficientemente flexionados, e estendendos nas horas corretas ( pisadas 1), usando pontas dos pe e movimento de molas no calcanhar.
Expert 5	Sim	Participante se inicia o video de bracos cruzados, mas ao se conectar com o que estava ali faendo e conseguir sem muita dificuldade aparentemente de encontrsr o ritmo descruza os bracos. Utilizou pisada com joelhos suficientemente flexionados, e estendendos nas horas corretas ( pisadas 1), usando pontas dos pe e movimento de molas no calcanhar.
Expert 5	Não	Participante nao se apresenta no tempo correto, realizando a marcacao no contratempo da musica. no `e`.
Expert 5	Sim	Apresenta dominio da tecnica Basico 1, realizado de forma natural, iniciando no tempo correto da musica. Utiliza de pisadas em ponta do pe e em pe chapado. Na marcacao 2 com a perna direita ( voltando com a perna esqeurda da frente) pisa em ponta do pe e 
Expert 5	Sim	Participante ainda executa pisada 2 na ponta dos pes, o que lhe da mais velocidade de pisada. Quando se danca como leader, essa ausencia do calcanhar ao chao ( especialmente em musica rapida) pode trazer dificuldade de firmeza da pisada, e assim perdendo velocidade e tambem menos instabilidade para mudancas de direcao da pisada. 
Expert 5	Sim	Participante realiza movimento limpo ( sem moviementos nao necessarios) e com sauvidade (sem movimentos involuntarios ou subitos), possivel observar a marcaco realizada com destreza dentro do ritmo musical. 
Expert 5	Sim	Participante espera ate a contagem forte da musica (no caso o tempo 6 ) para comecar o movimento. Realiza a marcacao 2 com o movimento do pe direito mais flexivel, deixando o calcanhar aproximar mais do chao.
Expert 5	Sim	O participante executa a marcacao 2 com um pequeno descolamento, ja nao mais no mesmo lugar como apenas um tempo a ser marcado. Isso demonstra dominio do ritmo e do passo. 
Expert 5	Sim	Marcacao 2 com aperna direita ainda realizado na ponta dos pes mas menos do que anteriormente e com isso menor desvio de altura ( danca mais alinhada e menos quicada). Joelhos em uma boa angulacao de flexao.
Expert 5	Sim	Por requisitar dancar em uma musica muito rapida, houve pequenos ajustes do movimento. Passadas ficaram mais custas, e as pisadas 2 utilizou mais o calcanhar, por necessitar de velocidade para a proxima pisada, utilizar o calcanhar contribui para acelerar a troca de pisada. 
Expert 5	Sim	Por ser uma musica muito rapida, ocorreu ausencia da marcacao `pausa`, isso nao interferiu no estar no ritmo, pois a contagem foi feita, so nao foi executada como uma pausa, foi utilizado como tempo de deslocamento.
Expert 6	Não	Falta transferência de peso, braço/ombro esquerdo solto e resto das articulações travadas, olhando para baixo. 
Expert 6	Não	Falta transferência de peso, braço/ombro esquerdo solto e resto das articulações travadas
Expert 6	Não	Falta transferência de peso, braço/ombro esquerdo solto e resto das articulações travadas
Expert 6	Não	Falta transferência de peso, braço/ombro esquerdo solto e resto das articulações travadas, suave perda no equilíbrio
Expert 6	Não	Falta transferência de peso, braço/ombro esquerdo solto e resto das articulações travadas, suave perda no equilíbrio.
Expert 6	Não	Falta transferência de peso, braço/ombro esquerdo solto e resto das articulações travadas
Expert 6	Não	Falta transferência de peso, braço/ombro esquerdo solto e resto das articulações travadas
Expert 6	Não	Falta transferência de peso, cotovelos muito travados(principalmente), resto das articulações travados. 
Expert 6	Sim	Falta transferência de peso, braço/ombros soltos e resto das articulações travadas
Expert 6	Sim	Transferência de peso quase perfeita, cotovelos travados, tempo de espera fora da hora.
Expert 6	Não	Transferência de peso quase perfeita, cotovelos travados, tempo de espera fora da hora.
Expert 6	Não	Transferência de peso quase perfeita, cotovelos travados, tempo de espera fora da hora, movimentação excessiva dos braços.
Expert 6	Não	Corpo e pernas travados, olhando para baixo, boa transferência de peso.
Expert 6	Não	Corpo e pernas travados, olhando para baixo, boa transferência de peso.
Expert 6	Não	Corpo e pernas travados, olhando para baixo, boa transferência de peso, tempo de espera na hora errada.
Expert 6	Não	Corpo e pernas travados, boa transferência de peso, tempo de espera fora de hora.
Expert 6	Não	Corpo e pernas travados, boa transferência de peso, tempo de espera fora de hora.
Expert 6	Não	Corpo travados, boa transferência de peso, tempo de espera fora de hora.
Expert 6	Sim	Cotovelos e joelhos travados, boa postura, tempo de espera fora de hora, falta transferência de peso. 
Expert 6	Sim	Cotovelos e joelhos travados, boa postura, tempo de espera fora de hora, falta transferência de peso. 
Expert 6	Sim	Cotovelos e joelhos travados, boa postura, tempo de espera fora de hora, falta transferência de peso. 
Expert 6	Não	Cotovelos e joelhos travados, movimentação excessiva de tronco, boa postura, tempo de espera fora de hora, falta transferência de peso. 
Expert 6	Não	Cotovelos e joelhos travados, boa postura, tempo de espera fora de hora, transferência de peso inconstante. 
Expert 6	Não	Cotovelos e joelhos travados, boa postura, tempo de espera fora de hora, falta transferência de peso, variando ritmo de execução do movimento. 
Expert 6	Sim	Cotovelos e joelhos travados, movimentação excessiva do troco. 
Expert 6	Sim	Cotovelos e joelhos travados, olhando para baixo frequentemente. Melhorou bastante! 
Expert 6	Sim	Cotovelos e joelhos travados, braço direito solto, olhando para baixo frequentemente.
Expert 6	Sim	Boa postura, braço esquerdo travado, chutes com pé esquerdo desnecessários. 
Expert 6	Sim	 Boa postura, bom desenvolvimento do corpo, dança certa, melhorar apenas tempo de espera muito evidente! Ótimo! 
Expert 6	Sim	 Boa postura, bom desenvolvimento do corpo, falha na transferência de pesomelhorar apenas tempo de espera muito evidente!
Expert 6	Não	 Movimento invertido, olhando para baixo prejudicando a postura, braço direito travado. 
Expert 6	Não	 Olhando para baixo prejudicando a postura, troco e braços imóveis. 
Expert 6	Não	 Olhando para baixo prejudicando a postura, troco e braços imóveis. 
Expert 6	Sim	Braços travados durante a dança, olhando para baixo prejudicando a postura.
Expert 6	Não	 Olhando para baixo prejudicando a postura, troco e braços imóveis. 
Expert 6	Não	 Olhando para baixo prejudicando a postura, braço esquerdo solto. 
Expert 6	Não	Boa postura, braços sempre retos e soltos.
Expert 6	Sim	Braços/cotovelos travados, boa postura.
Expert 6	Sim	Braços/cotovelos travados, boa postura.
Expert 6	Sim	Boa postura, braços sempre retos e soltos.
Expert 6	Sim	Boa postura, braços travados, boa transferencia de peso.
Expert 6	Sim	Boa postura, braços travados, tempo de espera fora de hora, boa transferencia de peso.
Expert 6	Sim	Boa postura, braços travados, boa transferencia de peso.
Expert 6	Sim	Boa postura, braços travados, boa transferencia de peso.
Expert 6	Sim	Boa postura, braços travados, boa transferencia de peso.
Expert 6	Sim	Boa postura, corpo um pouco travado, boa transferência de peso.
Expert 6	Sim	Boa postura, corpo um pouco travado, boa transferência de peso.
Expert 6	Sim	Boa postura, corpo  e braços um pouco travados, boa transferência de peso.
